EAN;TS_1_Mois;TS_2_Mois;TS_3_Mois;TS_Final;TS_1_Semaine;TS_Final_V2
3023290080641;100%;100%;100%;100%;100%;100%
3023290091173;;;100%;100%;;100%
3023290091203;;;100%;100%;;100%
3023290091616;100%;100%;100%;100%;100%;100%
3023290092088;;100%;100%;100%;;100%
3023290092095;;100%;100%;100%;;100%
3023290092101;100%;94%;98%;100%;;100%
3023290092125;100%;100%;89%;100%;;100%
3023290101964;100%;100%;100%;100%;100%;100%
3023290101995;100%;100%;100%;100%;100%;100%
3023290103494;50%;95%;95%;50%;;50%
3023290112243;100%;100%;100%;100%;100%;100%
3023290112267;100%;100%;100%;100%;100%;100%
3023290115251;100%;100%;100%;100%;100%;100%
3023290115282;100%;100%;100%;100%;100%;100%
3023290165348;100%;100%;100%;100%;100%;100%
3023290165355;100%;100%;100%;100%;100%;100%
3023290165362;100%;100%;100%;100%;100%;100%
3023290165379;100%;100%;100%;100%;100%;100%
3023290165386;100%;100%;100%;100%;100%;100%
3023290165393;100%;100%;100%;100%;100%;100%
3023290165409;100%;100%;100%;100%;100%;100%
3023290169803;100%;100%;98%;100%;100%;100%
3023290169940;;100%;100%;100%;;100%
3023290170076;100%;100%;100%;100%;;100%
3023290170403;100%;100%;100%;100%;;100%
3023290170427;100%;100%;100%;100%;;100%
3023290170434;100%;100%;100%;100%;;100%
3023290170441;96%;96%;96%;96%;;96%
3023290170458;100%;100%;100%;100%;;100%
3023290170465;89%;95%;97%;89%;;89%
3023290170472;46%;46%;46%;46%;;46%
3023290207048;67%;67%;67%;67%;0%;0%
3023290207055;75%;75%;75%;75%;100%;100%
3023290207062;82%;82%;82%;82%;100%;100%
3023290208137;100%;100%;100%;100%;100%;100%
3023290223055;80%;80%;80%;80%;;80%
3023290230183;100%;100%;100%;100%;100%;100%
3023290230190;100%;100%;100%;100%;100%;100%
3023290233702;100%;100%;100%;100%;100%;100%
3023290234686;;100%;100%;100%;;100%
3023290234709;;89%;89%;89%;;89%
3023290234839;100%;100%;100%;100%;100%;100%
3023290400326;97%;99%;99%;97%;100%;100%
3023290400333;95%;98%;99%;95%;100%;100%
3023290419694;;;100%;100%;;100%
3023290419700;;;100%;100%;;100%
3023290456538;100%;100%;100%;100%;100%;100%
3023290600023;100%;100%;100%;100%;100%;100%
3023290620144;100%;100%;100%;100%;100%;100%
3023290623527;67%;67%;67%;67%;50%;50%
3023290623572;;100%;100%;100%;;100%
3023290623992;95%;98%;98%;95%;100%;100%
3023290624265;100%;100%;100%;100%;100%;100%
3023290639221;100%;97%;89%;100%;100%;100%
3023290640586;100%;100%;100%;100%;100%;100%
3023290643488;100%;100%;100%;100%;100%;100%
3023290719312;;100%;100%;100%;;100%
3023290719329;100%;100%;100%;100%;100%;100%
3023290797365;100%;98%;99%;100%;100%;100%
3023290799482;;;100%;100%;;100%
3023291122005;100%;100%;100%;100%;100%;100%
3023292259144;100%;88%;90%;100%;100%;100%
3023292266005;100%;100%;100%;100%;100%;100%
3023470001084;100%;100%;81%;100%;100%;100%
3023470010031;100%;100%;81%;100%;100%;100%
