CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;QUANTITE_COMMANDEE;Commande_Origine;Code_Famille;Libelle_Famille;Libelle_Rayon;Mod_pas_cde;Passage_Prolog;IFLS;DATE_RECEPTION;NUM_COMMANDE_EXTERNE;DATE_CREATION
509;1605301;1;1060;39;14/05/2025;15/05/2025;7321448;3336972103058;125G CHIPS CLASSIQUE BBQ VICO;0;0;1605301;70;CHIPS;EPICERIE;P;1;454161;15/05/2025;;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;7321448;3336972103058;125G CHIPS CLASSIQUE BBQ VICO;10;10;1605301;70;CHIPS;EPICERIE;P;0;454161;15/05/2025;;15/05/2025 17:24:22
509;1605671;1;1060;41;28/04/2025;14/05/2025;7321448;3336972103058;125G CHIPS CLASSIQUE BBQ VICO;0;10;1604645;70;CHIPS;EPICERIE;P;0;454161;14/05/2025;;15/05/2025 17:24:22
794;1605861;1;1060;41;13/05/2025;15/05/2025;7314565;4014400928891;6X25G KNOPPERS LAIT   NOISETTE;54;54;1604682;46;DEVANT CAISSES;EPICERIE;P;0;Q27929;15/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;7245103;3261341004462;1KG CAFE GRAINS EXCELLENCE;6;6;1606021;15;CAFES TORREFIES;EPICERIE;P;1;P67037;16/05/2025;VP021074;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;7245103;3261341004462;1KG CAFE GRAINS EXCELLENCE;6;6;1605301;15;CAFES TORREFIES;EPICERIE;P;0;P67037;15/05/2025;;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;7245103;3261341004462;1KG CAFE GRAINS EXCELLENCE;0;0;1605301;15;CAFES TORREFIES;EPICERIE;P;1;P67037;15/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;7246301;3560071258054;1KG CAFE GR ARAB EQ CRF EXTRA;8;8;1606021;15;CAFES TORREFIES;EPICERIE;P;1;P67834;16/05/2025;VP021074;15/05/2025 17:24:22
794;1605861;4;1060;41;13/05/2025;15/05/2025;7279924;3616474703582;PAPIER CUISSON 15 M BRUN;144;144;1604682;400;EMBALLAGES MENAGERS;BAZAR;P;0;P94161;15/05/2025;;15/05/2025 17:24:22
794;1605861;1;1060;41;13/05/2025;15/05/2025;7285679;3560071264888;250G MIEL FLEUR FRANCE CRF BIO;24;24;1604682;155;PRODUITS DIETETIQUES;EPICERIE;P;0;P99480;15/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;7267732;3560071400033;16X100G COMP POM SSA CRF BIO;9;9;1606021;120;CONFITURES;EPICERIE;P;1;P83808;16/05/2025;VP021074;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;7267732;3560071400033;16X100G COMP POM SSA CRF BIO;9;9;1605301;120;CONFITURES;EPICERIE;P;0;P83808;15/05/2025;;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;7267732;3560071400033;16X100G COMP POM SSA CRF BIO;0;0;1605301;120;CONFITURES;EPICERIE;P;1;P83808;15/05/2025;;15/05/2025 17:24:22
691;1606042;17;1070;39;15/05/2025;17/05/2025;7314472;3154230806646;HERTA FUET 180G;24;24;1606042;850;CHARCUTERIE LIBRE-SERVICE;CHARCUTERIE / TRAITEUR L.S.;P;1;387955;17/05/2025;SF140525;15/05/2025 17:24:22
691;1606042;14;1070;39;15/05/2025;17/05/2025;7311648;3560071271404;150G FRG A TARTI NAT CRF CLAS;36;36;1606042;795;FROMAGE LIBRE-SERVICE;CREMERIE FROMAGE LS;P;1;382271;17/05/2025;SF140525;15/05/2025 17:24:22
691;1606573;14;1070;41;14/05/2025;16/05/2025;7311648;3560071271404;150G FRG A TARTI NAT CRF CLAS;48;48;1605320;795;FROMAGE LIBRE-SERVICE;CREMERIE FROMAGE LS;P;0;382271;16/05/2025;;15/05/2025 17:24:22
691;1605320;14;1070;39;14/05/2025;16/05/2025;7311648;3560071271404;150G FRG A TARTI NAT CRF CLAS;0;0;1605320;795;FROMAGE LIBRE-SERVICE;CREMERIE FROMAGE LS;P;1;382271;16/05/2025;SF130525;15/05/2025 17:24:22
794;1606060;3;1060;39;15/05/2025;17/05/2025;7319785;3600551055022;750ML EAU NETT PURE CADUM BB;18;18;1606060;295;HYGIENE BEBE;D.P.H.;P;1;Q33547;17/05/2025;VP021069;15/05/2025 17:24:22
794;1605094;3;1060;41;28/04/2025;14/05/2025;7319785;3600551055022;750ML EAU NETT PURE CADUM BB;0;18;1604185;295;HYGIENE BEBE;D.P.H.;P;0;Q33547;14/05/2025;;15/05/2025 17:24:22
794;1605861;3;1060;41;13/05/2025;15/05/2025;7319785;3600551055022;750ML EAU NETT PURE CADUM BB;18;18;1604682;295;HYGIENE BEBE;D.P.H.;P;0;Q33547;15/05/2025;;15/05/2025 17:24:22
691;1606042;14;1070;39;15/05/2025;17/05/2025;6473696;3760056265644;POT 125G BURRATA VACHE C AZZAR;168;168;1606042;795;FROMAGE LIBRE-SERVICE;CREMERIE FROMAGE LS;P;1;069698;17/05/2025;SF140525;15/05/2025 17:24:22
509;1605301;3;1060;39;14/05/2025;15/05/2025;7301401;3560071318710;64 LING BB AV CLAPET CRF BABY;0;0;1605301;295;HYGIENE BEBE;D.P.H.;P;1;Q12970;15/05/2025;;15/05/2025 17:24:22
509;1606310;3;1060;41;14/05/2025;15/05/2025;7301401;3560071318710;64 LING BB AV CLAPET CRF BABY;20;20;1605301;295;HYGIENE BEBE;D.P.H.;P;0;Q12970;15/05/2025;;15/05/2025 17:24:22
509;1605129;1;1060;39;13/05/2025;26/05/2025;7219633;3560071403096;4X25G BARR CEREA AMAN CRF BIO;10;10;0;30;CEREALES ET EN-CAS;EPICERIE;P;0;P43613;26/05/2025;VP022062;15/05/2025 17:24:22
509;1605128;1;1060;39;13/05/2025;20/05/2025;7219633;3560071403096;4X25G BARR CEREA AMAN CRF BIO;60;0;0;30;CEREALES ET EN-CAS;EPICERIE;P;0;P43613;20/05/2025;VP022062;15/05/2025 17:24:22
509;1605116;14;1064;39;13/05/2025;14/05/2025;7245610;3560071406035;1L LAIT 1/2 ECR CRF BIO FIL;78;78;1604642;790;LAIT;CREMERIE FROMAGE LS;P;0;701166;14/05/2025;;15/05/2025 17:24:22
509;1606018;14;1064;39;15/05/2025;16/05/2025;7245610;3560071406035;1L LAIT 1/2 ECR CRF BIO FIL;90;90;1606018;790;LAIT;CREMERIE FROMAGE LS;P;1;701166;16/05/2025;VP021074;15/05/2025 17:24:22
509;1606445;14;1064;41;14/05/2025;15/05/2025;7245610;3560071406035;1L LAIT 1/2 ECR CRF BIO FIL;96;0;1605301;790;LAIT;CREMERIE FROMAGE LS;P;0;701166;15/05/2025;;15/05/2025 17:24:22
509;1605824;14;1064;39;14/05/2025;15/05/2025;7245610;3560071406035;1L LAIT 1/2 ECR CRF BIO FIL;96;96;1605298;790;LAIT;CREMERIE FROMAGE LS;P;0;701166;15/05/2025;;15/05/2025 17:24:22
509;1605671;14;1064;41;28/04/2025;14/05/2025;7245610;3560071406035;1L LAIT 1/2 ECR CRF BIO FIL;0;0;1604645;790;LAIT;CREMERIE FROMAGE LS;P;0;701166;14/05/2025;;15/05/2025 17:24:22
509;1605114;1;1060;41;10/05/2025;12/05/2025;7276037;3560071413880;120G BARQUETTE CHOC CRF BIO;0;48;1604147;10;BISCUITS SUCRES;EPICERIE;P;0;P90929;13/05/2025;;15/05/2025 17:24:22
509;1605813;3;1064;41;13/05/2025;14/05/2025;7072302;3560071269524;X3 ESSUIE TOUT COMPACT SIMPL;160;0;1604642;310;PAPIERS MENAGERS;D.P.H.;P;0;510698;14/05/2025;;15/05/2025 17:24:22
509;1605116;3;1064;39;13/05/2025;14/05/2025;7072302;3560071269524;X3 ESSUIE TOUT COMPACT SIMPL;160;160;1604642;310;PAPIERS MENAGERS;D.P.H.;P;0;510698;14/05/2025;;15/05/2025 17:24:22
509;1606018;3;1064;39;15/05/2025;16/05/2025;7072302;3560071269524;X3 ESSUIE TOUT COMPACT SIMPL;160;160;1606018;310;PAPIERS MENAGERS;D.P.H.;P;1;510698;16/05/2025;VP021074;15/05/2025 17:24:22
