CDBASE;FOURNISSEUR;DATE_LIVRAISON;STOCK;RAL;MINIMUM_COMMANDE;PCB;QTÉPRÉVISION1;QTÉPRÉVISION2;CLASSE_STOCKAGE;COCHE_RAO;STOCK_MARCHAND;QTÉPRÉVISIONINIT1;QTÉPRÉVISIONINIT2;QTÉPROPOSÉE1;QTÉPROPOSÉE2;NUMERO_COMMANDE;DATE_L2;DATE_COMMANDE;QTÉPROPOSÉEFINALE;STOCK_REEL;CDBASE2;NUMERO_COMMANDE2;IFLS
7977500;509;05/06/2025;10;;32;32;18,67;6,33;1060;54;9999;18,67;6,33;10008,11;10005,33;1616143;06/06/2025;04/06/2025;10005;24;7977500;1616143;V91565              
7977501;509;05/06/2025;33;;32;32;6,11;3;1060;54;9999;6,11;3;9875,78;10002;1616143;06/06/2025;04/06/2025;9876;38;7977501;1616143;V91566              
7977609;794;06/06/2025;0;;6;6;0;0;1060;46;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;;7977609;1616187;V91656              
7977616;691;06/06/2025;12;;6;6;0,01;0,01;1070;54;9999;0,01;0,01;9987,01;9999,01;1616165;07/06/2025;04/06/2025;9987;12;7977616;1616165;359835              
7977833;794;06/06/2025;0;;20;20;0,04;0,01;1060;54;9999;0,04;0,01;9999,03;9999,01;1616187;07/06/2025;04/06/2025;9999;0;7977833;1616187;V91873              
7977834;794;06/06/2025;42;;6;6;0;0;1060;46;9999;0;0;9957;9999;1616187;07/06/2025;04/06/2025;9957;42;7977834;1616187;V91874              
7978150;509;05/06/2025;67;48;4;4;2,33;0,56;1060;54;9999;2,33;0,56;9886;9999,56;1616143;06/06/2025;04/06/2025;9886;69;7978150;1616143;V92090              
7978171;794;06/06/2025;32;;6;6;0,02;0,01;1060;46;9999;0,02;0,01;9967,02;9999,01;1616187;07/06/2025;04/06/2025;9967;32;7978171;1616187;V95891              
7978172;794;06/06/2025;8;;6;6;0,01;0;1060;46;9999;0,01;0;9991,01;9999;1616187;07/06/2025;04/06/2025;9991;8;7978172;1616187;V95892              
7978173;794;06/06/2025;9;12;12;12;0,02;0,01;1060;46;9999;0,03;0,01;9978,03;9999,01;1616187;07/06/2025;04/06/2025;9978;9;7978173;1616187;V95893              
7978261;794;06/06/2025;23;;6;6;0;0;1060;46;9999;0;0;9976;9999;1616187;07/06/2025;04/06/2025;9976;23;7978261;1616187;W04048              
7978322;794;06/06/2025;0;;10;10;0;0;1060;54;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;;7978322;1616187;V92187              
7978323;794;06/06/2025;0;10;10;10;0;0;1060;54;9999;0;0;9989;9999;1616187;07/06/2025;04/06/2025;9989;;7978323;1616187;W01013              
7978324;509;05/06/2025;16;32;32;32;10,22;4,22;1060;54;9999;10,22;4,22;9960,78;10003,22;1616143;06/06/2025;04/06/2025;9961;33;7978324;1616143;381882              
7978395;794;06/06/2025;0;24;24;24;0;0;1060;46;9999;0;0;9975;9999;1616187;07/06/2025;04/06/2025;9975;;7978395;1616187;V92237              
7978396;794;06/06/2025;0;12;12;12;0;0;1060;46;10;0;0;-2;10;1616187;07/06/2025;04/06/2025;0;;7978396;1616187;V92238              
7978608;509;05/06/2025;23;;6;6;0;0;1060;46;9999;0,01;0;9976,01;9999;1616143;06/06/2025;04/06/2025;9976;23;7978608;1616143;V92354              
7978647;691;06/06/2025;26;24;12;12;0,29;0,18;1070;54;9999;0,29;0,18;9949,35;9999,18;1616165;10/06/2025;04/06/2025;9949;26;7978647;1616165;364465              
7978653;794;06/06/2025;74;;6;6;0;0;1060;54;9999;0;0;9925;9999;1616187;07/06/2025;04/06/2025;9925;74;7978653;1616187;V92391              
7978684;509;05/06/2025;47;;12;12;0,02;0,01;1060;46;9999;0,02;0,01;9952,03;9999,01;1616143;06/06/2025;04/06/2025;9952;47;7978684;1616143;V92408              
7979094;794;06/06/2025;6;;6;6;0;0;1060;46;0;0;0;-6;0;1616187;07/06/2025;04/06/2025;0;6;7979094;1616187;
7979256;794;06/06/2025;11;;6;6;0;0;1060;46;0;0;0;-11;0;1616187;07/06/2025;04/06/2025;0;11;7979256;1616187;
7979295;794;06/06/2025;11;8;8;8;0,03;0,02;1060;46;9999;0,03;0,02;9980,04;9999,02;1616187;07/06/2025;04/06/2025;9980;11;7979295;1616187;W04049              
7979753;794;06/06/2025;28;;6;6;0;0;1060;54;9999;0;0;9971;9999;1616187;07/06/2025;04/06/2025;9971;28;7979753;1616187;V93490              
7979755;794;06/06/2025;24;;6;6;0;0;1060;54;9999;0;0;9975;9999;1616187;07/06/2025;04/06/2025;9975;24;7979755;1616187;V93493              
7979816;557;06/06/2025;76;108;48;12;0,01;0,01;1080;54;9999;0,01;0,01;9815,02;9999,01;1616152;07/06/2025;04/06/2025;9815;76;7979816;1616152;365675              
7979817;557;06/06/2025;0;108;48;12;0,03;0,02;1080;54;9999;0,03;0,01;9891,03;9999,01;1616152;07/06/2025;04/06/2025;9891;0;7979817;1616152;365684              
7979871;794;06/06/2025;21;;24;24;0,01;0;1060;54;9999;0,01;0;9978,01;9999;1616187;07/06/2025;04/06/2025;9978;21;7979871;1616187;X20317              
7979873;794;06/06/2025;0;;12;12;0;0;1060;46;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;;7979873;1616187;X20319              
7979874;794;06/06/2025;23;;12;12;0;0;1060;54;9999;0;0;9976;9999;1616187;07/06/2025;04/06/2025;9976;23;7979874;1616187;X20320              
7979877;794;06/06/2025;0;48;24;24;0,1;0,05;1060;54;9999;0,1;0,05;9951,1;9999,05;1616187;07/06/2025;04/06/2025;9951;0;7979877;1616187;W40988              
7980021;794;06/06/2025;23;;12;12;0;0;1060;54;9999;0;0;9976;9999;1616187;07/06/2025;04/06/2025;9976;23;7980021;1616187;V93701              
7980256;509;05/06/2025;23;18;6;6;0,12;0,04;1060;54;9999;0,12;0,04;9958,18;9999,04;1616143;06/06/2025;04/06/2025;9958;23;7980256;1616143;366305              
7980257;509;05/06/2025;23;;6;6;1,4;0,4;1060;54;9999;1,4;0,4;9977,4;9999,4;1616143;06/06/2025;04/06/2025;9977;24;7980257;1616143;V94127              
7980260;509;05/06/2025;9;6;6;6;0,56;0,22;1060;54;9999;0,56;0,22;9984,67;9999,22;1616143;06/06/2025;04/06/2025;9985;9;7980260;1616143;V94130              
7980842;557;06/06/2025;0;;7;7;0,06;0,02;1080;46;6;0,06;0,02;6,06;6,02;1616152;07/06/2025;04/06/2025;6;0;7980842;1616152;366504              
7980847;794;06/06/2025;5;;6;6;0,02;0,01;1060;46;9999;0,02;0,01;9994,02;9999,01;1616187;07/06/2025;04/06/2025;9994;5;7980847;1616187;V94574              
7980853;794;06/06/2025;7;;6;6;0,02;0,01;1060;46;9999;0,02;0,01;9992,02;9999,01;1616187;07/06/2025;04/06/2025;9992;7;7980853;1616187;V94579              
7981568;794;06/06/2025;10;12;6;6;0,01;0;1060;46;9999;0,01;0;9977,02;9999;1616187;07/06/2025;04/06/2025;9977;10;7981568;1616187;V95321              
7982847;522;06/06/2025;0;;12;12;0,04;0,01;1060;54;9999;0,04;0,01;9999,04;9999,01;1616149;07/06/2025;04/06/2025;9999;0;7982847;1616149;V96319              
7982863;691;06/06/2025;0;;6;6;0;0;1071;54;0;0;0;0;0;1616165;07/06/2025;04/06/2025;0;;7982863;1616165;367566              
7983225;794;06/06/2025;16;6;6;6;0,02;0,02;1060;46;9999;0,03;0,01;9977,02;9999,01;1616187;07/06/2025;04/06/2025;9977;16;7983225;1616187;V96596              
7983339;794;06/06/2025;13;18;6;6;0,04;0,02;1060;46;9999;0,04;0,02;9968,05;9999,02;1616187;07/06/2025;04/06/2025;9968;13;7983339;1616187;V96693              
7983746;794;06/06/2025;75;;6;6;0,03;0,02;1060;54;9999;0,03;0,02;9924,03;9999,02;1616187;07/06/2025;04/06/2025;9924;75;7983746;1616187;V96886              
7983920;794;06/06/2025;77;;6;6;0,01;0;1060;46;9999;0,01;0;9922,01;9999;1616187;07/06/2025;04/06/2025;9922;77;7983920;1616187;V96967              
7983921;794;06/06/2025;51;;6;6;0;0;1060;54;9999;0;0;9948;9999;1616187;07/06/2025;04/06/2025;9948;51;7983921;1616187;V96968              
7983923;794;06/06/2025;93;;6;6;0,02;0,01;1060;54;9999;0,02;0,01;9906,03;9999,01;1616187;07/06/2025;04/06/2025;9906;93;7983923;1616187;V96970              
