entrepot;EAN13;ifls;libelle article;Nombre Maxi Unités De Commande;pcb;ID;ID2;QteMaxUS
555;8000070000216;577688;336G X48 DOS ESPR CLASSIC 8 CN;1;10;555-8000070000216;555-577688;10
555;8000070000520;576240;420G X60 DOSETTES CORSE 7 CN;1;10;555-8000070000520;555-576240;10
555;8000070000698;783607;LT2X250G CF ML DOUC INT CNOIR;1;6;555-8000070000698;555-783607;6
555;8000070012813;032494;250G ESPRESSO ITALIANO ML LAVA;1;20;555-8000070012813;555-032494;20
555;8000070012882;032498;2X250G ESPRESSO ITALIANO ML;1;10;555-8000070012882;555-032498;10
555;8000070014114;501325;2X250G MOULU BARISTA INTEN LVZ;1;10;555-8000070014114;555-501325;10
555;8000070014602;092321;250G MOULU BARISTA INTEN LVZ;1;20;555-8000070014602;555-092321;20
555;8000070020627;297543;2X250G MOULU QUALITA ORO LAVAZ;1;10;555-8000070020627;555-297543;10
555;8000070023970;L27914;LT2X250G MLU BIO C;1;6;555-8000070023970;555-L27914;6
555;8000070032835;382208;250G CAFE MOULU IL MATTINO;1;12;555-8000070032835;555-382208;12
555;8000070032866;382221;4X250G CAFE ML IL MATTINO;1;3;555-8000070032866;555-382221;3
555;8000070053465;T49633;LVZ CAP ALU 10X55G QO STD 10CA;1;10;555-8000070053465;555-T49633;10
555;8000070059122;R29022;CN CAPS ALU 10X55G INT N9 10CA;1;10;555-8000070059122;555-R29022;10
