EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
3,56007E+12;1/2 LENTILLES CRF CLASSIC;3737771;66,22372451;375;2315;1
3,56007E+12;50CL SPE LAIT 15  SIMPL;3742435;65,85708172;376;2331;1
5,41346E+12;1KG PILON POULET PINGO PLK;3605465;65,800973;377;2152;1
3,56007E+12;60G PARMIG REGG  12M CFR EXTRA;7562912;65,65405697;378;8747;1
3,56007E+12;140G 4T JBM SUP DD CSN CRF EXT;7062332;65,57788935;379;7203;1
3,28602E+12;X72 LING  EPAISSES H2O BIOLANE;3484241;65,57379787;380;2059;1
3,56007E+12;500G GNOCCH POELER NAT CRF EX;7797379;65,51678863;381;9780;1
3,22706E+12;10X100G SH PUR BOEUF CHARAL;98158;65,47220041;382;254;1
3,27019E+12;8X125G YRT PV VANILLE CRF ORIG;843355;65,12403632;383;627;1
3,56007E+12;600G FRITE FOUR 9/9 CRF CLASS;5459958;64,92317966;384;4269;1
3,56007E+12;500G RIZ BASMATI BIO;3887246;64,86433622;385;2525;1
3,56007E+12;420G SAUCE PROVENCALE CRF CLAS;4583177;64,8329749;386;3167;1
3,56007E+12;400G MOZZARELLA PAIN CRF CLASS;4861849;64,77765685;387;3662;1
3,56007E+12;15X30G PANES COLIN MSC CRF CL;3781323;64,703173;388;2398;1
3,15423E+12;150G DES DE LARDON NATURE CSN;7315627;64,66034716;389;7959;1
8,71044E+12;800G ROSTY'S MC CAIN;4129936;64,64772821;390;2737;1
3,56007E+12;400G NUGGETS CRF CLASSIC;4455586;64,52397991;391;3055;1
3,56007E+12;8X125G STEAK HACHE 15  CRFORIG;6450690;64,50009199;392;5842;1
3,27019E+12;250G CAMEMBERT CRF CLASSIC;843409;64,30277107;393;648;1
3,24093E+12;520G GNOCCHI A POELER LUSTX6;7640435;64,18418713;394;9121;1
3,27019E+12;360G PNE CORNICHONS X/F CRF CL;1040161;64,17187614;395;784;1
3,01776E+12;150G CHIPSTER MAXI BELIN;1669551;64,01139305;396;1074;1
3,56007E+12;DESSERT NOIR PORT 200G  CRF OR;4545537;63,86605686;397;3157;1
3,56007E+12;500G MASCARPONE CRF CLASSIC;4280060;63,8214732;398;2847;1
3,76006E+12;60G PARMIGIA REG RAPE AOP CASA;2127508;63,71669604;399;1215;1
3,56007E+12;200G EMMANTAL  TRANCHES CRF CL;3136018;63,60554919;400;1814;1
3,56007E+12;500G PDM SSCROUT COMP CRF CLAS;4013755;63,4419456;401;2621;1
3,56007E+12;250G PLQ EXTRA FIN DX CRF CL;7218843;63,36187445;402;7622;1
3,24541E+12;525G PAIN AU LAIT X15 CRF CLAS;3318121;63,33279771;403;1916;1
3,15423E+12;BPARIS JAMBON A L'ETOUFFEE 10T;7536911;63,02860344;404;8644;1
8,41007E+12;520G SCE TOMATE CUISINEE HEINZ;4261706;62,89399878;405;2842;1
3,56007E+12;200G MOZZA BUF AOP CRF EXTRA;3059307;62,83993276;406;1764;1
8,07681E+12;500G LINGUINE COLLEZIONE BARIL;2226265;62,77801654;407;1256;1
3,56007E+12;2X115ML JUS CIT SICILE CRF CLA;6048635;62,74949485;408;5231;1
3,27019E+12;125G PANACHE JEUNE POUSSE CRF;1114755;62,68959641;409;919;1
3,56007E+12;12P 240G FRG BLC FONDU CRF CLA;4880093;62,63375953;410;3697;1
3,56007E+12;180G HOUMOUS EXTRA CARREFOUR;5854020;62,63008204;411;4885;1
3,22802E+12;180G BUCHE DE CHEVRE PRESIDENT;6158364;62,35247818;412;5419;1
3,24541E+12;250G MUFFINS NATURE CRF SENSA;2674886;62,24135457;413;1513;1
3,24541E+12;320G TORT BLE WRAP X8 CRF SENS;2611364;62,23198242;414;1482;1
3,01776E+12;3X39G POCKET MIKADO LAIT LU;2995710;62,20185367;415;1712;1
3,76006E+12;125G MOZZARELLA VACHE;2252650;62,20108976;416;1277;1
3,25654E+12;630G TRESSEE PEPITES PASQUIER;6008218;62,20098301;417;5183;1
8,44529E+12;6X75CL  HEPAR PET;7767705;62,14392612;418;9633;1
3,03835E+12;200GX3 SCE TOMACOULI NATURE PZ;58373;62,10276593;419;213;1
